to_id	kind	step	profile_id	name	relation
6000000010349180549	blood	0		Michael Jackson	
6000000010349180549	blood	1	6000000001784923412	Lisa Marie Presley	his ex-wife
6000000010349180549	blood	2	6000000003104470825	Elvis Presley	her father
6000000010349180549	blood	3	6000000001784973101	Vernon Elvis Presley	his father
6000000010349180549	blood	4	6000000003103752725	Minnie Mae Presley	his mother
6000000010349180549	blood	5	6000000003681560938	William H. "Buck" Hood	her father
6000000010349180549	blood	6	6000000003681560928	Joshua Hood, Sr.	his father
6000000010349180549	blood	7	6000000007962934648	William Hood	his father
6000000010349180549	blood	8	6000000007611238216	John Hood	his father
6000000010349180549	blood	9	6000000007611252232	Tunis Hood, II	his brother
6000000010349180549	blood	10	6000000071633813845	Lydia Hood	his daughter
6000000010349180549	blood	11	6000000010631518835	John S Black	her son
6000000010349180549	blood	12	6000000001853758037	Eliza C. Payne	his daughter
6000000010349180549	blood	13	6000000006912339167	Charles Thomas Payne	her son
6000000010349180549	blood	14	6000000001737249065	Rolla Charles Payne	his son
6000000010349180549	blood	15	6000000001736596601	Madelyn Lee Dunham	his daughter
6000000010349180549	blood	16	6000000000240233401	Dr. Stanley Ann Dunham	her daughter
6000000010349180549	blood	17	6000000010349180549	Barack H. Obama, 44th President of the USA	her son
6000000011249640031	blood	0	6000000087535357291	You	
6000000011249640031	blood	1	6000000177921459056	Richard Wade Borsheim	your father
6000000011249640031	blood	2	6000000177921459078	Randolph Paulus Borsheim	his father
6000000011249640031	blood	3	6000000032068841409	Reinhert Borsheim	his father
6000000011249640031	blood	4	6000000020344732085	Rakel Rasmusdottir Borsheim	his mother
6000000011249640031	blood	5	6000000005609547544	Anne Berta Osmundsdatter Nese	her adoptive mother
6000000011249640031	blood	6	6000000002744891329	Osmund Larsson Nese	her father
6000000011249640031	blood	7	6000000069466362236	Lars Osmundsen Foss-Eikeland, d. y.	his father
6000000011249640031	blood	8	6000000012587690898	Osmund Larsen Raunes	his father
6000000011249640031	blood	9	6000000005609304829	Lars Nilsen Raunes	his father
6000000011249640031	blood	10	6000000001770188397	Nils Larsen Raunes	his father
6000000011249640031	blood	11	6000000002482084257	Guri Pedersdatter Foss	his mother
6000000011249640031	blood	12	6000000002482165558	Cecilie Olsdatter Håland	her mother
6000000011249640031	blood	13	6000000001169235389	Gudrun Sæbjørnsdatter Talgje	her mother
6000000011249640031	blood	14	6000000003043806217	Sissel Jonsdatter Talje	her mother
6000000011249640031	blood	15	6000000002481819312	Bergitte Gunnbjørnsdatter Aukland	her mother
6000000011249640031	blood	16	6000000002463510938	Lagmann Gunnbjørn Toresson Tengs	her father
6000000011249640031	blood	17	6000000002572701505	Knight Tore Gardsson	his father
6000000011249640031	blood	18	6000000004870648136	Ramborg Knutsdotter Lejon	his mother
6000000011249640031	blood	19	6000000002572699392	Knut Algotsson	her father
6000000011249640031	blood	20	6000000005795638082	Algot Bryniolfsson	his father
6000000011249640031	blood	21	6000000011239201122	Ingegerd Svantepolksdotter	his mother
6000000011249640031	blood	22	6000000003418900347	Svantepolk Knutsson Viby, Skarsholmsätten	her father
6000000011249640031	blood	23	6000000003076221220	Knut Valdemarsson, Duke of Estland, Blekinge and Lolland	his father
6000000011249640031	blood	24	6000000000891680343	Valdemar II "The Victorious", King of Denmark	his father
6000000011249640031	blood	25	5305294636990124817	Valdemar the Great, King of Denmark	his father
6000000011249640031	blood	26	6000000007958767639	Ingeborg of Kiev	his mother
6000000011249640031	blood	27	6000000006727873134	Izyaslav II, Grand Duke of Kiev	her brother
6000000011249640031	blood	28	6000000008092041322	Princess of Georgia	his wife
6000000011249640031	blood	29	6000000008091983321	Rusudan of Georgia	her sister
6000000011249640031	blood	30	6000000008091777494	Sultan Ahmed Sanjar	her husband
6000000011249640031	blood	31	6000000031528348931	Malik-Shah I of Great Seljuq	his father
6000000011249640031	blood	32	6000000031528209013	Sultan Alp Arslan	his father
6000000011249640031	blood	33	6000000031528142916	Dawud Chaghri Bey, Lord of Khorasan	his father
6000000011249640031	blood	34	6000000035218690155	n n	his mother
6000000011249640031	blood	35	6000000035218736073	Inal Kut Chor	her father
6000000011249640031	blood	36	6000000115311613394	Kut Chor	his mother
6000000011249640031	blood	37	6000000115311392405	Turgesh Khagan Kut Chor	her father
6000000011249640031	blood	38	6000000115313244880	Princess Jinhe Ashina	his mother
6000000011249640031	blood	39	6000000115313276887	Huaidao Ashina	her father
6000000011249640031	blood	40	6000000115312653996	Huseluo Ashina	his father
6000000011249640031	blood	41	6000000115311622874	Princess Hengyang of Tang China	his mother
6000000011249640031	blood	42	6000000002188101188	Emperor Gaozu of Tang	her father
6000000011249640031	blood	43	6000000007915729523	Lǐ Shìmín 李世民, Emperor Taizong of Tang	his son
6000000011249640031	blood	44	6000000002188099961	楊氏	his partner
6000000011249640031	blood	45	6000000007970272795	Xiao Shi of Yangdi) 蕭氏(炀帝后	her mother
6000000011249640031	blood	46	6000000034999113914	張氏	her mother
6000000011249640031	blood	47	6000000034998517452	蕭氏	her mother
6000000011249640031	blood	48	6000000054122289928	蕭玉娡	her sister
6000000011249640031	blood	49	6000000054121752093	王實	her husband
6000000011249640031	blood	50	6000000054121685037	王瑩 (奉光	his father
6000000011249640031	blood	51	6000000054111502040	王懋 (昌業	his father
6000000011249640031	blood	52	6000000023724819497	王偃 (子游	his father
6000000011249640031	blood	53	6000000023724604499	司馬氏	his mother
6000000011249640031	blood	54	6000000023616057659	Sima Yu 司馬昱, Emperor Jianwen of Eastern Jin	her father
6000000011249640031	blood	55	6000000023615990332	Simar Rui 司馬睿, Emperor Yuan of Eastern Jin	his father
6000000011249640031	blood	56	6000000023701469192	夏侯光姬	his mother
6000000011249640031	blood	57	6000000023701606979	羊氏	her mother
6000000011249640031	blood	58	6000000023701473182	羊耽	her father
6000000011249640031	blood	59	6000000023701542001	羊衜	his brother
6000000011249640031	blood	60	6000000023701142622	孔氏	his wife
6000000011249640031	blood	61	6000000012974199933	孔融 (文舉	her father
6000000011249640031	blood	62	6000000012974325705	孔宙 (季將	his father
6000000011249640031	blood	63	6000000012974261698	孔賢	his father
6000000011249640031	blood	64	6000000012974223415	孔疇 (元疇	his father
6000000011249640031	blood	65	6000000012974148354	孔尚	his father
6000000011249640031	blood	66	6000000012974217291	孔某	his father
6000000011249640031	blood	67	6000000012967255967	孔福	his father
6000000011249640031	blood	68	6000000012967304091	孔霸 (次孺	his father
6000000011249640031	blood	69	6000000012967359906	孔延年	his father
6000000011249640031	blood	70	6000000012967278186	孔武 (子威	his father
6000000011249640031	blood	71	6000000012967705264	孔忠 (子貞	his father
6000000011249640031	blood	72	6000000012967668576	Kong Teng	his father
6000000011249640031	blood	73	6000000012967326556	Kong Qian	his father
6000000011249640031	blood	74	6000000012967305625	Kong Chuan	his father
6000000011249640031	blood	75	6000000012967698304	Kong Ji	his father
6000000011249640031	blood	76	6000000012967698299	Kong Qiu	his father
6000000011249640031	blood	77	6000000012967351909	Kong Bai	his father
6000000011249640031	blood	78	6000000012967251172	Kong Ji (Zisi	his father
6000000011249640031	blood	79	6000000012967608603	Kong Li 孔鯉	his father
6000000011249640031	blood	80	6000000011249640031	Confucius 孔子	his father
6000000001829589817	blood	0	6000000227036719829	NN Father of Huaxu	
6000000001829589817	blood	1	6000000195149174838	Huaxu	his child
6000000001829589817	blood	2	6000000130191678854	Fuxi	his/her son
6000000001829589817	blood	3	6000000026522778851	GŌNGSŪN Shǎo Diǎn 少典, 1世	his son
6000000001829589817	blood	4	6000000001381274001	Yellow Emperor	his son
6000000001829589817	blood	5	6000000002481254239	Xuán Xiāo, 玄囂/Shǎo Hào 少昊, 2	his son
6000000001829589817	blood	6	6000000007213183226	Jiáo Jí, 蟜極, 3	his son
6000000001829589817	blood	7	6000000002481253260	Emperor Kù 帝嚳, 4	his son
6000000001829589817	blood	8	6000000003485847175	Emperor Yáo 帝堯, 5	his son
6000000001829589817	blood	9	6000000189960074826	É Huáng, 娥皇	his daughter
6000000001829589817	blood	10	6000000195149451825	Emperor Shùn 帝舜 9, 1G	her husband
6000000001829589817	blood	11	6000000020081057184	Yáo Zhòng Huá  姚重華	his brother
6000000001829589817	blood	12	6000000020080347820	Yáo Nǚ 姚女修	his daughter
6000000001829589817	blood	13	6000000020080280715	Dàlián 大廉	her son
6000000001829589817	blood	14	6000000020081488034	Fèichāng 費昌	his son
6000000001829589817	blood	15	6000000020081451167	Zhōngyǎn 中衍	his son
6000000001829589817	blood	16	6000000020081733018	Zhongjue 中潏	his son
6000000001829589817	blood	17	6000000020081759112	秦蜚廉	his son
6000000001829589817	blood	18	6000000020081756044	èlái 贏惡來	his son
6000000001829589817	blood	19	6000000020081807047	Yíng Nǚ Fáng 贏女防	his son
6000000001829589817	blood	20	6000000020081977005	Yíng Páng Gāo 贏旁皋	his son
6000000001829589817	blood	21	6000000020081854161	Yíng Tài Jǐ 贏太幾	his son
6000000001829589817	blood	22	6000000020081868140	Yíng Dà Luò 贏大駱	his son
6000000001829589817	blood	23	6000000012696300313	Feizi 非子, 秦非子, Qin Ying 秦嬴	his son
6000000001829589817	blood	24	6000000012696253426	Marquis of Qin 秦侯	his son
6000000001829589817	blood	25	6000000012696331279	Gongbo 公伯	his son
6000000001829589817	blood	26	6000000012696112569	Qin Zhong 秦仲	his son
6000000001829589817	blood	27	6000000012696082877	Duke Zhuang of Qin 秦莊公	his son
6000000001829589817	blood	28	6000000012696010455	Duke Xiang of Qin 秦襄公	his son
6000000001829589817	blood	29	6000000012696313204	Duke Wen of Qin 秦文公	his son
6000000001829589817	blood	30	6000000012696268227	Duke Jing of Qin 秦靜公	his son
6000000001829589817	blood	31	6000000012696253271	Duke Xian of Qin 秦憲公	his son
