# Immediate family scraped from the Geni profile page. Step 1 of the per-individual loop.
# subject	6000000004287483202	Rabbi Yisrael Gershon Soloveitchik
# prose	Son of Rabbi Chaim "Brisker" Soloveitchik and Lifshe Soloveitchik Husband of Chaya Miryam Soloveitchik Father of Yosef Ber Soloveitchik; Esther Szwarcbaum; R' Yitzchak Zev Soloveitchik; Tzvi Soloveitchik and Rabbi Moshe Soloveitchik of Switzerland Brother of Rabbi Moses Soloveichik; Sara Rasha Glickson and Rabbi Yitzchak Zev (Velvel) Soloveitchik
# unlinked	0	relatives the prose names that carry no link, and that no click reveals
# statistics	family_tree=12758	blood_relatives=15000	ancestors=4519	descendants=95	followers=9	read=1
subject_geni_id	relation	phrase	relative_geni_id	relative_name
6000000004287483202	parent	Son	6000000003182695182	Rabbi Chaim "Brisker" Soloveitchik
6000000004287483202	parent	Son	6000000003183125156	Lifshe Soloveitchik
6000000004287483202	spouse	Husband	6000000004329148761	Chaya Miryam Soloveitchik
6000000004287483202	child	Father	6000000186303385972	Yosef Ber Soloveitchik
6000000004287483202	child	Father	6000000007630757813	Esther Szwarcbaum
6000000004287483202	child	Father	6000000007630944348	R' Yitzchak Zev Soloveitchik
6000000004287483202	child	Father	6000000007630737088	Tzvi Soloveitchik
6000000004287483202	child	Father	6000000004641326681	Rabbi Moshe Soloveitchik of Switzerland
6000000004287483202	sibling	Brother	5674929469520088509	Rabbi Moses Soloveichik
6000000004287483202	sibling	Brother	6000000003701215071	Sara Rasha Glickson
6000000004287483202	sibling	Brother	6000000002818749340	Rabbi Yitzchak Zev (Velvel) Soloveitchik
