"Score","ID 1","Name 1","Birth date 1","Death date 1","Relatives 1","ID 2","Name 2","Birth date 2","Death date 2","Relatives 2"
"84%","3198","Fatima az-Zahra'","About 606","About 632","Parents: the Prophet Muhammad and Khadija Bint Muhammad [Khuwalyid]
Siblings: Zaynab, Tahir, Tayyib, Al Qasim Abd Allah Ibn Muhammad, Umm Kulthum, Rukayya, Ibrahim","3226","Fatima Talib [az-Zahra']","About 606","About 632","Parents: the Prophet Muhammad and Khadija Bint Muhammad [Khuwalyid]
Spouse: Ali Ibn Abu Talib, Caliph Of Islam 4th
Siblings: Zaynab, Tahir, Tayyib, Al Qasim Abd Allah Ibn Muhammad, Umm Kulthum, Rukayya, Ibrahim
Children: Al-Hussein Imam, Al-Hassan al-Muthanna Imam Of The Sh'ites, Mohsin, Umn Al Kultum, Umm Al Kulthum, Raquia, Zaynab Kobra, Khadija"
"80%","3208","Umm Kulthum","","Deceased","Parents: the Prophet Muhammad and Khadija Bint Muhammad [Khuwalyid]
Siblings: Zaynab, Tahir, Tayyib, Al Qasim Abd Allah Ibn Muhammad, Rukayya, Fatima az-Zahra', Ibrahim","3245","Umm Kulthum","","Deceased","Parents: the Prophet Muhammad and Khadija Bint Muhammad [Khuwalyid]
Spouses: Uthman Ibn Affan Umayyad, Caliph Of Islam 3rd\, Yazid I Umayyad, Caliph Of Islam 6th
Siblings: Zaynab, Tahir, Tayyib, Al Qasim Abd Allah Ibn Muhammad, Rukayya, Fatima Talib [az-Zahra'], Ibrahim
Children: A'LISHA BINT UTHMAN DAMASCUS [AL-UMAYYAH], Abd Al Malik Umayyad, Umayyad Caliph Of Islam 9th [Umayyad]"
"80%","3209","Al Qasim Abd Allah Ibn Muhammad","","Deceased","Parents: the Prophet Muhammad and Khadija Bint Muhammad [Khuwalyid]
Siblings: Zaynab, Tahir, Tayyib, Umm Kulthum, Rukayya, Fatima az-Zahra', Ibrahim","3247","Al Qasim Abd Allah Ibn Muhammad","","Deceased","Parents: the Prophet Muhammad and Khadija Bint Muhammad [Khuwalyid]
Siblings: Zaynab, Tahir, Tayyib, Umm Kulthum, Rukayya, Fatima Talib [az-Zahra'], Ibrahim"
"60%","3199","the Prophet Muhammad","Mar 25 570","Jun 8 632","Father: Abdullah
Spouses: Hafsa Bint Muhammad [Umar], Maymuna Bint Al Muhammad [Harith], Zaynab Bint Muhammad [Khuzayma], Umm Habiba Ramla Bint Abu Muhammad [Sufyan], Zaynab Bint Muhammad [Jahsh], Juwayriyyah Bint Muhammad [Harith], Umm Salama Hind Bint Abi Muhammad [Umayya], Khadija Bint Muhammad [Khuwalyid], Muhammad [A'isha], Sauda Bint Muhammad [Zam'a], Mary The Muhammad [Copt], Safiya Bint Muhammad [Huyayy]
Siblings: Abu Tabid
Children: Fatima az-Zahra', Rukayya, Umm Kulthum, Al Qasim Abd Allah Ibn Muhammad, Tayyib, Tahir, Zaynab, Ibrahim","3227","the Prophet Muhammad","Mar 25 570","Jun 8 632","Spouses: Hafsa Bint Muhammad [Umar], Maymuna Bint Al Muhammad [Harith], Zaynab Bint Muhammad [Khuzayma], Umm Habiba Ramla Bint Abu Muhammad [Sufyan], Zaynab Bint Muhammad [Jahsh], Juwayriyyah Bint Muhammad [Harith], Umm Salama Hind Bint Abi Muhammad [Umayya], Khadija Bint Muhammad [Khuwalyid], Muhammad [A'isha], Sauda Bint Muhammad [Zam'a], Mary The Muhammad [Copt], Safiya Bint Muhammad [Huyayy]
Children: Fatima Talib [az-Zahra'], Rukayya, Umm Kulthum, Al Qasim Abd Allah Ibn Muhammad, Tayyib, Tahir, Zaynab, Ibrahim"
"46%","3206","Mary The Muhammad [Copt]","","Deceased","Spouse: the Prophet Muhammad
Children: Ibrahim","3243","Mary The Muhammad [Copt]","","Deceased","Spouse: the Prophet Muhammad
Children: Ibrahim"
"44%","3200","Khadija Bint Muhammad [Khuwalyid]","555","619","Spouse: the Prophet Muhammad
Children: Fatima az-Zahra', Rukayya, Umm Kulthum, Al Qasim Abd Allah Ibn Muhammad, Tayyib, Tahir, Zaynab","3228","Khadija Bint Muhammad [Khuwalyid]","555","619","Spouse: the Prophet Muhammad
Children: Fatima Talib [az-Zahra'], Rukayya, Umm Kulthum, Al Qasim Abd Allah Ibn Muhammad, Tayyib, Tahir, Zaynab"
"42%","3205","Safiya Bint Muhammad [Huyayy]","611","Deceased","Spouse: the Prophet Muhammad","3242","Safiya Bint Muhammad [Huyayy]","611","Deceased","Spouse: the Prophet Muhammad"
"40%","3202","Hafsa Bint Muhammad [Umar]","","Deceased","Spouse: the Prophet Muhammad","3233","Hafsa Bint Muhammad [Umar]","","Deceased","Spouse: the Prophet Muhammad"
"40%","3204","Sauda Bint Muhammad [Zam'a]","","Deceased","Spouse: the Prophet Muhammad","3241","Sauda Bint Muhammad [Zam'a]","","Deceased","Spouse: the Prophet Muhammad"
"40%","3213","Maymuna Bint Al Muhammad [Harith]","","Deceased","Spouse: the Prophet Muhammad","3251","Maymuna Bint Al Muhammad [Harith]","","Deceased","Spouse: the Prophet Muhammad"
