"Score","ID 1","Name 1","Birth date 1","Death date 1","Relatives 1","ID 2","Name 2","Birth date 2","Death date 2","Relatives 2"
"60%","1933","Umila The Wend","","Deceased","Father: Gostomysl The Wend
Spouse: Anulo Halfdansson
Children: Rurik of Dorestad Prince of Ladoga and Novgorod","5726","Umila Halfdansson [The Wend]","","","Father: Gostomysl The Wend
Spouse: Anulo Halfdansson
Children: Rurik of Dorestad and Kiev"
"56%","1932","Rurik of Dorestad Prince of Ladoga and Novgorod","Between About 810 and 830","879","Parents: Anulo Halfdansson and Umila The Wend
Children: Igor Prince of the Rus'","5282","Rurik of Dorestad and Kiev","830","879","Parents: Anulo Halfdansson and Umila Halfdansson [The Wend]
Spouse: Ufanda/Endvinda/Alfrind Kiev [of Norway]
Children: Igor Kiev"
"44%","1700","Ennodius Proconsul of Africa","355","After 395","Children: Fitz Ennodius","5441","Ennodius Proconsul of Africa","355","After 395","Children: (unidentified son of Ennodius) (unidentified son of Ennodius)"
"40%","1934","Gostomysl The Wend","","Deceased","Children: Umila The Wend","5727","Gostomysl The Wend","","","Daughter: Umila Halfdansson [The Wend]"
"30%","1343","Henry King of Assyria","","About 2348 BC","Father: Sulamus King of Assyria
Children: Mandarus King of Assyria","5693","Henry Count of Berg","","","Spouse: Adelaide of Mochental
Daughter: Salomea of Berg"
"30%","1346","Henry King of Assyria, II","","About 2309 BC","Father: Rasmus King of Assyria
Children: Didanus King of Assyria","5693","Henry Count of Berg","","","Spouse: Adelaide of Mochental
Daughter: Salomea of Berg"
"30%","1429","Henry Pharaoh of Egyptian 9th Dynasty","","Deceased","Father: Cetus Pharaoh of Egyptian 9th Dynasty
Spouse: Iku Pharaoh of Egyptian 9th Dynasty
Children: Intef the Elder Nomarch of Thebes","5693","Henry Count of Berg","","","Spouse: Adelaide of Mochental
Daughter: Salomea of Berg"
"30%","3330","Henry of Battenberg","","","Spouse: Beatrice Princess Henry of Battenberg [Saxe-Coburg and Gotha]
Daughter: Victoria Eugenie Queen of Spain [of Battenberg]","5174","Henry of Franconia","","886","Father: Poppo of Grapfeld
Spouse: Ingeltrude of Franconia
Children: Hedwiga of Franconia"
"30%","3330","Henry of Battenberg","","","Spouse: Beatrice Princess Henry of Battenberg [Saxe-Coburg and Gotha]
Daughter: Victoria Eugenie Queen of Spain [of Battenberg]","5392","Henry of Schweinfurt","970","Sep 18 1017","Parents: Berthold of Schweinfurt and Eilika of Schweinfurt [Walbeck]
Spouse: Gerberga of Schweinfurt [of Gleiberg]
Children: Judith Bohemia [Schweinfurt]"
"30%","3330","Henry of Battenberg","","","Spouse: Beatrice Princess Henry of Battenberg [Saxe-Coburg and Gotha]
Daughter: Victoria Eugenie Queen of Spain [of Battenberg]","5693","Henry Count of Berg","","","Spouse: Adelaide of Mochental
Daughter: Salomea of Berg"
"30%","3693","Henry Prince of Prussia","Dec 30 1747","May 26 1767","Parents: Prince Augustus William of Prussia and Duchess Louise Amalie of Brunswick-Wolfenbüttel
Siblings: Wilhelmina of Prussia Princess of Orange, Frederick William II of Prussia","5693","Henry Count of Berg","","","Spouse: Adelaide of Mochental
Daughter: Salomea of Berg"
"30%","3720","Henry Prince of the Netherlands","","","Parents: William II King of the Netherlands and Grand Duchess Anna Pavlovna of Russia King of the Netherlands
Siblings: Alexander Prince of the Netherlands Prince of Orange-Nassau, Princess Sophie of the Netherlands Grand Duke of Saxe-Weimar-Eisenach, William III King of the Netherlands","5693","Henry Count of Berg","","","Spouse: Adelaide of Mochental
Daughter: Salomea of Berg"
"30%","3822","Henry Count of Bardi","Feb 12 1851","Apr 14 1905","Father: Charles III Duke of Parma
Siblings: Margherita Duchess consort of Madrid [of Bourbon-Parma], Robert I Duke of Parma, Alice of Bourbon-Parma","5693","Henry Count of Berg","","","Spouse: Adelaide of Mochental
Daughter: Salomea of Berg"
"30%","4380","Pepin King of the Franks, The Short","","Deceased","Children: Charlemagne Holy Roman Emperor","5013","Pepin of Landen","","","Father: Carloman of Landen
Spouse: Saint Itta of Metz
Daughter: Saint Begga"
"30%","4380","Pepin King of the Franks, The Short","","Deceased","Children: Charlemagne Holy Roman Emperor","5234","Pepin of Vermandois","","","Parents: Bernard of Italy King of the Lombards and Cunigunda of Vermandois [of Laon]
Children: Herbert I Vermandois"
